posting_title,price,rooms,sqm,toilets,floor,link,location,tipologie,city
"Villa plurifamiliare via Alessandro dal Bosco, Ostia Antica, Roma",269000.0,5,158.0,2,5,https://www.immobiliare.it/annunci/103376148/,Ostia Antica,na,Roma
"Monolocale viale Giorgio Ribotta 21, Torrino, Roma",285000.0,na,60.0,1,1,https://www.immobiliare.it/annunci/101417639/,Torrino,na,Roma
"Villa unifamiliare viale di Pescina Gagliarda 139, Piana del Sole, Roma",279000.0,5,171.0,2,5,https://www.immobiliare.it/annunci/103415794/,Piana del Sole,na,Roma
"Attico via Andrea Mantegna 113, Ardeatino - Montagnola, Roma",515000.0,4,216.0,2,4,https://www.immobiliare.it/annunci/104059931/,Ardeatino - Montagnola,na,Roma
"Appartamento via Pasquale II 182, Torrevecchia, Roma",390000.0,5,135.0,2,5,https://www.immobiliare.it/annunci/103441894/,Torrevecchia,na,Roma
"Trilocale via Barnaba Tortolini 30, Euclide, Roma",659000.0,3,105.0,2,3,https://www.immobiliare.it/annunci/103384628/,Euclide,na,Roma
"Trilocale via Barnaba Tortolini 30, Euclide, Roma",624000.0,3,90.0,2,3,https://www.immobiliare.it/annunci/103389262/,Euclide,na,Roma
"Trilocale via Valsavaranche, Conca d'Oro - Valli, Roma",198000.0,3,89.0,2,3,https://www.immobiliare.it/annunci/103564780/,Conca d'Oro - Valli,na,Roma
"Bilocale viale Giorgio Ribotta 21, Torrino, Roma",569000.0,2,120.0,2,2,https://www.immobiliare.it/annunci/103447210/,Torrino,na,Roma
"Bilocale via Barnaba Tortolini 30, Euclide, Roma",369000.0,2,50.0,1,2,https://www.immobiliare.it/annunci/103388684/,Euclide,na,Roma
"Bilocale via delle Vigne 137, Trullo - Colle del Sole, Roma",225000.0,2,55.0,1,2,https://www.immobiliare.it/annunci/86226622/,Trullo - Colle del Sole,na,Roma
"Attico via Paolo V 7, Boccea, Roma",275000.0,3,64.0,1,3,https://www.immobiliare.it/annunci/103032568/,Boccea,na,Roma
"Trilocale via Barnaba Tortolini 30, Euclide, Roma",654000.0,3,100.0,2,3,https://www.immobiliare.it/annunci/103720126/,Euclide,na,Roma
"Attico via Francesco Siacci, Parioli, Roma",1350000.0,5+,240.0,3,5+,https://www.immobiliare.it/annunci/102408576/,Parioli,na,Roma
"Bilocale via Barnaba Tortolini 30, Euclide, Roma",364000.0,2,52.0,1,2,https://www.immobiliare.it/annunci/103721146/,Euclide,na,Roma
"Trilocale via Barnaba Tortolini 30, Euclide, Roma",620000.0,3,92.0,2,3,https://www.immobiliare.it/annunci/103721430/,Euclide,na,Roma
"Trilocale via Caio Sulpicio 8, Cinecittà, Roma",289000.0,3,90.0,2,3,https://www.immobiliare.it/annunci/103472734/,Cinecittà,na,Roma
"Villa unifamiliare via della Nocetta 171, Pisana - Bravetta, Roma",1520000.0,5+,470.0,3+,5+,https://www.immobiliare.it/annunci/102028874/,Pisana - Bravetta,na,Roma
"Trilocale via delle Benedettine, Monte Mario - Trionfale, Roma",190000.0,3,49.0,1,3,https://www.immobiliare.it/annunci/101530633/,Monte Mario - Trionfale,na,Roma
"Villa unifamiliare via Teheran, Camilluccia - Farnesina, Roma",1400000.0,5+,356.0,3+,5+,https://www.immobiliare.it/annunci/101164477/,Camilluccia - Farnesina,na,Roma
"Trilocale via di San Giovanni Decollato, Aventino, Roma",1030000.0,3,95.0,2,3,https://www.immobiliare.it/annunci/90834493/,Aventino,na,Roma
"Bilocale via Segesta 16, Appio Latino, Roma",329000.0,2,70.0,1,2,https://www.immobiliare.it/annunci/103552544/,Appio Latino,na,Roma
"Trilocale via Pietro Maffi, Battistini - Primavalle, Roma",169000.0,3,75.0,1,3,https://www.immobiliare.it/annunci/103527676/,Battistini - Primavalle,na,Roma
"Trilocale via Calpurnio Fiamma, Cinecittà, Roma",238000.0,3,83.0,1,3,https://www.immobiliare.it/annunci/102713112/,Cinecittà,na,Roma
"Appartamento via Nizza, Salario - Porta Pia, Roma",2400000.0,5+,295.0,3,5+,https://www.immobiliare.it/annunci/100223152/,Salario - Porta Pia,na,Roma
"Appartamento largo Arenula, Largo Argentina, Roma",2200000.0,5+,370.0,3+,5+,https://www.immobiliare.it/annunci/99716766/,Largo Argentina,na,Roma
"Bilocale via dell'Olmata, Colle Oppio, Roma",800000.0,2,84.0,2,2,https://www.immobiliare.it/annunci/103885635/,Colle Oppio,na,Roma
"Bilocale via Paola Falconieri 123, Monteverde Nuovo, Roma",279000.0,2,60.0,1,2,https://www.immobiliare.it/annunci/103677854/,Monteverde Nuovo,na,Roma
"Appartamento via Bernardo Barbiellini Amidei, Gemelli - Pineta Sacchetti, Roma",690000.0,5+,176.0,3,5+,https://www.immobiliare.it/annunci/100530054/,Gemelli - Pineta Sacchetti,na,Roma
"Trilocale via Luciano Conti 50, Ponte di Nona, Roma",204000.0,3,83.0,2,3,https://www.immobiliare.it/annunci/101196663/,Ponte di Nona,na,Roma
"Quadrilocale corso Trieste, Trieste - Coppedè, Roma",770000.0,4,180.0,2,4,https://www.immobiliare.it/annunci/97048620/,Trieste - Coppedè,na,Roma
"Attico via dei Coronari, Piazza Navona, Roma",1300000.0,2,85.0,1,2,https://www.immobiliare.it/annunci/79101143/,Piazza Navona,na,Roma
"Bilocale via Flaminia 803, Fleming, Roma",370000.0,2,77.0,1,2,https://www.immobiliare.it/annunci/102985702/,Fleming,na,Roma
"Appartamento via Copenaghen, Torrino, Roma",1290000.0,5,183.0,2,5,https://www.immobiliare.it/annunci/101681941/,Torrino,na,Roma
"Villa plurifamiliare via Carlo Calcaterra, Infernetto, Roma",280000.0,4,138.0,3,4,https://www.immobiliare.it/annunci/69399584/,Infernetto,na,Roma
"Bilocale via Orlando De Tommaso 28, Balduina, Roma",268000.0,2,70.0,1,2,https://www.immobiliare.it/annunci/103870257/,Balduina,na,Roma
"Quadrilocale via Francesco Arese, Colli Portuensi - Casaletto, Roma",440000.0,4,124.0,2,4,https://www.immobiliare.it/annunci/103532340/,Colli Portuensi - Casaletto,na,Roma
"Appartamento viale Libia, Africano - Villa Chigi, Roma",620000.0,5+,140.0,2,5+,https://www.immobiliare.it/annunci/103321874/,Africano - Villa Chigi,na,Roma
"Appartamento via Val Cristallina, Conca d'Oro - Valli, Roma",485000.0,5,150.0,2,5,https://www.immobiliare.it/annunci/103112352/,Conca d'Oro - Valli,na,Roma
"Quadrilocale via del Colle di Mezzo, Cecchignola - Giuliano Dalmata, Roma",530000.0,4,150.0,2,4,https://www.immobiliare.it/annunci/102695816/,Cecchignola - Giuliano Dalmata,na,Roma
"Trilocale via dei Colli della Farnesina, Camilluccia - Farnesina, Roma",360000.0,3,105.0,2,3,https://www.immobiliare.it/annunci/102506386/,Camilluccia - Farnesina,na,Roma
"Villa a schiera via di Casal Selce, Casal Selce, Roma",490000.0,5+,245.0,3,5+,https://www.immobiliare.it/annunci/95105496/,Casal Selce,na,Roma
"Trilocale via Gerolamo Cardano, Marconi, Roma",330000.0,3,95.0,1,3,https://www.immobiliare.it/annunci/93870560/,Marconi,na,Roma
"Quadrilocale via Benedetto Croce, Ardeatino - Montagnola, Roma",569000.0,4,150.0,2,4,https://www.immobiliare.it/annunci/102611956/,Ardeatino - Montagnola,na,Roma
"Villa unifamiliare via Delle Isole, Trieste - Coppedè, Roma",4600000.0,5+,450.0,3+,5+,https://www.immobiliare.it/annunci/99804646/,Trieste - Coppedè,na,Roma
"Appartamento via Cesare De Fabritiis, Valle Aurelia, Roma",710000.0,5+,250.0,3,5+,https://www.immobiliare.it/annunci/99640876/,Valle Aurelia,na,Roma
"Attico via Barnaba Tortolini, Euclide, Roma",619000.0,2,75.0,1,2,https://www.immobiliare.it/annunci/103521852/,Euclide,na,Roma
"Appartamento via Ferdinando di Savoia 3, Piazza del Popolo, Roma",1385000.0,5+,182.0,3,5+,https://www.immobiliare.it/annunci/103114848/,Piazza del Popolo,na,Roma
"Appartamento via Tevere, Pinciano - Villa Ada, Roma",950000.0,5+,241.0,3+,5+,https://www.immobiliare.it/annunci/102478932/,Pinciano - Villa Ada,na,Roma
"Trilocale viale degli Astri, Torrino, Roma",390000.0,3,83.0,2,3,https://www.immobiliare.it/annunci/101962834/,Torrino,na,Roma
"Trilocale via Nemi, Colli Albani, Roma",330000.0,3,99.0,1,3,https://www.immobiliare.it/annunci/101725181/,Colli Albani,na,Roma
"Appartamento via Cassia 950, Grottarossa - Saxa Rubra, Roma",307000.0,5,150.0,3,5,https://www.immobiliare.it/annunci/101470641/,Grottarossa - Saxa Rubra,na,Roma
"Attico viale della Scultura, Eur, Roma",1680000.0,5+,196.0,3,5+,https://www.immobiliare.it/annunci/101342861/,Eur,na,Roma
"Attico via Stresa, Camilluccia - Farnesina, Roma",1700000.0,5+,356.0,3+,5+,https://www.immobiliare.it/annunci/100339100/,Camilluccia - Farnesina,na,Roma
"Appartamento via Carlo Fea, Bologna, Roma",1290000.0,5+,241.0,3,5+,https://www.immobiliare.it/annunci/100034014/,Bologna,na,Roma
"Attico piazza Albania, Aventino, Roma",2180000.0,5+,241.0,3,5+,https://www.immobiliare.it/annunci/99428730/,Aventino,na,Roma
"Trilocale via Aurelia, Gregorio VII - Piccolomini, Roma",440000.0,3,129.0,2,3,https://www.immobiliare.it/annunci/97095024/,Gregorio VII - Piccolomini,na,Roma
"Attico via Capo le case, Spagna, Roma",2400000.0,4,180.0,2,4,https://www.immobiliare.it/annunci/102626806/,Spagna,na,Roma
"Appartamento via Adolfo Gandiglio, Colli Portuensi - Casaletto, Roma",1230000.0,5+,225.0,3,5+,https://www.immobiliare.it/annunci/102567050/,Colli Portuensi - Casaletto,na,Roma
"Trilocale via Della Serenissima 175, Villa Gordiani, Roma",229000.0,3,90.0,1,3,https://www.immobiliare.it/annunci/102167024/,Villa Gordiani,na,Roma
"Quadrilocale via Amerigo Vespucci, Testaccio, Roma",540000.0,4,103.0,2,4,https://www.immobiliare.it/annunci/101144883/,Testaccio,na,Roma
"Trilocale via del Casale di San Basilio 264, Ponte Mammolo, Roma",165000.0,3,90.0,2,3,https://www.immobiliare.it/annunci/100392526/,Ponte Mammolo,na,Roma
"Appartamento via Archimede, Euclide, Roma",1290000.0,5+,244.0,3,5+,https://www.immobiliare.it/annunci/96826260/,Euclide,na,Roma
"Trilocale via Alberto Litta Modignani, Mostacciano, Roma",395000.0,3,126.0,2,3,https://www.immobiliare.it/annunci/103910593/,Mostacciano,na,Roma
"Appartamento Lungotevere della Vittoria, Mazzini - Delle Vittorie, Roma",995000.0,5+,200.0,2,5+,https://www.immobiliare.it/annunci/103017836/,Mazzini - Delle Vittorie,na,Roma
"Loft via Margutta 1, Piazza del Popolo, Roma",999000.0,3,85.0,1,3,https://www.immobiliare.it/annunci/102448196/,Piazza del Popolo,na,Roma
"Appartamento via Adige, Trieste - Coppedè, Roma",1090000.0,5+,140.0,3,5+,https://www.immobiliare.it/annunci/100998993/,Trieste - Coppedè,na,Roma
"Trilocale via Pandosia, San Giovanni, Roma",559000.0,3,98.0,2,3,https://www.immobiliare.it/annunci/98930384/,San Giovanni,na,Roma
"Attico via dell'Olmata, Colle Oppio, Roma",4160000.0,5+,348.0,3+,5+,https://www.immobiliare.it/annunci/102523712/,Colle Oppio,na,Roma
"Attico viale Camillo Sabatini, Torrino, Roma",375000.0,3,130.0,2,3,https://www.immobiliare.it/annunci/102201410/,Torrino,na,Roma
"Villa bifamiliare via Luigi Pernier, Ostia Antica, Roma",460000.0,5,125.0,3,5,https://www.immobiliare.it/annunci/93022022/,Ostia Antica,na,Roma
"Bilocale via Anastasio 2, Gregorio VII - Piccolomini, Roma",430000.0,2,90.0,2,2,https://www.immobiliare.it/annunci/79969313/,Gregorio VII - Piccolomini,na,Roma
"Trilocale via Dei Tizi, San Lorenzo, Roma",600000.0,3,100.0,2,3,https://www.immobiliare.it/annunci/104307417/,San Lorenzo,na,Roma
"Trilocale via Carlo Sereni 15, Marconi, Roma",269000.0,3,75.0,2,3,https://www.immobiliare.it/annunci/103550808/,Marconi,na,Roma
"Trilocale via Tommaso Salvini, Parioli, Roma",550000.0,3,71.0,1,3,https://www.immobiliare.it/annunci/104113209/,Parioli,na,Roma
"Trilocale via dell'Archetto, Trevi, Roma",1070000.0,3,143.0,2,3,https://www.immobiliare.it/annunci/104036489/,Trevi,na,Roma
