location,size_cluster,mean_rent,count_rent,mean_sale,count_sale,mean_rent_yrly,ratio
"Acilia, Casal Bernocchi, Centro Giano, Dragona, Malafede, Vitinia",big,7.6,5,2102.528205128205,195,91.19999999999999,0.04337635032793242
"Acilia, Casal Bernocchi, Centro Giano, Dragona, Malafede, Vitinia",mini,13.2,5,3032.860465116279,43,158.39999999999998,0.05222792206298451
"Acilia, Casal Bernocchi, Centro Giano, Dragona, Malafede, Vitinia",regular,9.5,6,2433.0779220779223,231,114.0,0.046854233054172204
"Acilia, Casal Bernocchi, Centro Giano, Dragona, Malafede, Vitinia",small,12.357142857142858,28,2622.305031446541,318,148.28571428571428,0.056547851034673684
"Alessandrino, Tor Sapienza, Torre Maura",big,8.714285714285714,7,2345.7668393782383,193,104.57142857142856,0.04457878200680249
"Alessandrino, Tor Sapienza, Torre Maura",huge,8.0,3,1932.5,32,96.0,0.04967658473479948
"Alessandrino, Tor Sapienza, Torre Maura",mini,15.0,6,2711.391304347826,46,180.0,0.06638658157211122
"Alessandrino, Tor Sapienza, Torre Maura",regular,10.818181818181818,11,2631.9151291512917,271,129.8181818181818,0.04932460791775
"Alessandrino, Tor Sapienza, Torre Maura",small,13.642857142857142,14,2623.5511551155114,303,163.71428571428572,0.06240178903890197
"Anagnina, Romanina, Tor Vergata",big,8.714285714285714,14,2383.2642276422766,246,104.57142857142856,0.043877396118549274
"Anagnina, Romanina, Tor Vergata",huge,5.0,1,2032.9666666666667,150,60.0,0.029513518831264653
"Anagnina, Romanina, Tor Vergata",mini,13.818181818181818,11,2648.310344827586,29,165.8181818181818,0.06261282109252839
"Anagnina, Romanina, Tor Vergata",regular,9.764705882352942,17,2607.7860696517414,201,117.1764705882353,0.04493331410574017
"Anagnina, Romanina, Tor Vergata",small,12.393939393939394,33,2773.004524886878,221,148.72727272727275,0.05363398126201757
"Appia Pignatelli, Ardeatino, Montagnola",big,12.285714285714286,7,3587.896,125,147.42857142857144,0.041090536467214056
"Appia Pignatelli, Ardeatino, Montagnola",huge,12.0,5,3572.3673469387754,98,144.0,0.04030940438513305
"Appia Pignatelli, Ardeatino, Montagnola",mini,14.875,8,4740.444444444444,9,178.5,0.03765469716857304
"Appia Pignatelli, Ardeatino, Montagnola",regular,12.4,5,3710.746835443038,79,148.8,0.040099744498531466
"Appia Pignatelli, Ardeatino, Montagnola",small,15.363636363636363,11,3802.721518987342,79,184.36363636363637,0.04848202410907336
"Appio Claudio, Capannelle",huge,8.0,1,2857.5,14,96.0,0.03359580052493438
"Appio Claudio, Capannelle",small,14.0,1,3168.037037037037,27,168.0,0.05302968306113144
"Appio Latino, Colli Albani",big,11.8,10,3775.8709677419356,124,141.60000000000002,0.03750128148173462
"Appio Latino, Colli Albani",mini,19.555555555555557,9,3559.0,16,234.66666666666669,0.06593612437950735
"Appio Latino, Colli Albani",regular,14.842105263157896,19,3719.2761904761905,105,178.10526315789474,0.047887076419321085
"Appio Latino, Colli Albani",small,16.047619047619047,21,3875.4883720930234,86,192.57142857142856,0.04968959008059856
"Aurelio, Boccea",big,12.0,5,2921.721739130435,115,144.0,0.04928600765480747
"Aurelio, Boccea",huge,11.0,5,2776.282608695652,46,132.0,0.04754559193165713
"Aurelio, Boccea",regular,12.75,8,3156.021052631579,95,153.0,0.04847876406667956
"Aurelio, Boccea",small,13.25,12,3250.4471544715448,123,159.0,0.048916346719025526
"Aventino, San Saba, Caracalla",big,20.666666666666668,3,6474.266666666666,15,248.0,0.03830549663282328
"Aventino, San Saba, Caracalla",huge,20.266666666666666,15,6574.823529411765,17,243.2,0.03698958594281215
"Aventino, San Saba, Caracalla",regular,24.0,3,4896.5,2,288.0,0.058817522720310426
"Aventino, San Saba, Caracalla",small,23.375,8,4700.0,4,280.5,0.05968085106382979
"Axa, Casal Palocco, Infernetto",big,11.0,7,2716.605882352941,170,132.0,0.04859004423772744
"Axa, Casal Palocco, Infernetto",huge,9.533333333333333,15,2226.7351190476193,336,114.4,0.05137566611377163
"Axa, Casal Palocco, Infernetto",mini,14.0,2,3375.9375,16,168.0,0.04976395445709525
"Axa, Casal Palocco, Infernetto",regular,10.2,5,2827.7904191616767,167,122.39999999999999,0.0432846787974784
"Axa, Casal Palocco, Infernetto",small,12.56,25,2875.0733333333333,150,150.72,0.05242301065943825
"Balduina, Medaglie d'Oro, Degli Eroi",big,16.14814814814815,27,4111.8938053097345,113,193.77777777777777,0.04712616301703861
"Balduina, Medaglie d'Oro, Degli Eroi",huge,12.166666666666666,18,3859.5348837209303,129,146.0,0.037828392383706916
"Balduina, Medaglie d'Oro, Degli Eroi",mini,16.5,4,3626.5,4,198.0,0.05459809733903213
"Balduina, Medaglie d'Oro, Degli Eroi",regular,17.42105263157895,19,4572.833333333333,54,209.0526315789474,0.045716214946010296
"Balduina, Medaglie d'Oro, Degli Eroi",small,17.11111111111111,18,4688.081081081081,37,205.33333333333331,0.04379901494493415
"Battistini, Torrevecchia",big,12.75,8,3266.3901515151515,264,153.0,0.04684069964178322
"Battistini, Torrevecchia",huge,5.0,2,2257.2,55,60.0,0.026581605528973953
"Battistini, Torrevecchia",mini,17.857142857142858,7,3134.756097560976,41,214.28571428571428,0.06835801817322922
"Battistini, Torrevecchia",regular,11.625,8,3296.9921259842517,254,139.5,0.04231129304209516
"Battistini, Torrevecchia",small,14.833333333333334,18,3322.3569023569025,297,178.0,0.05357642337393842
"Bologna, Policlinico",big,15.066666666666666,15,4341.455555555555,90,180.8,0.041645019207587834
"Bologna, Policlinico",huge,15.166666666666666,18,4744.865853658536,82,182.0,0.03835724878495113
