posting_title,price,rooms,sqm,toilets,floor,link,location,city
"Attico via Silvestri, Pisana - Bravetta, Roma",2250.0,5,120.0,2,na,"('https://www.immobiliare.it/annunci/103249826/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via dei Carafa 164, Casetta Mattei - Corviale, Roma",1150.0,2,48.0,1,na,"('https://www.immobiliare.it/annunci/85503834/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Villa unifamiliare piazzetta del Bel Respiro, Pisana - Bravetta, Roma",3500.0,5,300.0,3,na,"('https://www.immobiliare.it/annunci/75844726/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Quadrilocale via Giovanni Ponti, Pisana - Bravetta, Roma",1150.0,4,90.0,2,na,"('https://www.immobiliare.it/annunci/87172428/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Quadrilocale via della Pisana, Pisana - Bravetta, Roma",2000.0,4,130.0,2,na,"('https://www.immobiliare.it/annunci/99537586/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Monolocale via della Casetta Mattei 315, Casetta Mattei - Corviale, Roma",690.0,na,28.0,1,na,"('https://www.immobiliare.it/annunci/92406354/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via dei Bichi, Pisana - Bravetta, Roma",600.0,2,50.0,na,na,"('https://www.immobiliare.it/annunci/104717753/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via della Pisana, 224, Pisana - Bravetta, Roma",850.0,2,60.0,1,na,"('https://www.immobiliare.it/annunci/103727064/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Trilocale via Silvio Sbricoli 43, Casetta Mattei - Corviale, Roma",1070.0,3,86.0,2,na,"('https://www.immobiliare.it/annunci/103926943/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Villa bifamiliare piazzetta del Bel Respiro, Pisana - Bravetta, Roma",3000.0,5,253.0,3,na,"('https://www.immobiliare.it/annunci/104094889/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Trilocale via Portuense 722, Casetta Mattei - Corviale, Roma",1100.0,3,88.0,1,na,"('https://www.immobiliare.it/annunci/104168565/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Quadrilocale via Antonio Sogliano, Pisana - Bravetta, Roma",1050.0,4,130.0,2,na,"('https://www.immobiliare.it/annunci/83346709/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Villa unifamiliare via Della Nocetta, Colli Portuensi - Casaletto, Roma",23000.0,5+,750.0,3+,na,"('https://www.immobiliare.it/annunci/101094477/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Trilocale via Andrea del Verrocchio, Casetta Mattei - Corviale, Roma",950.0,3,110.0,2,na,"('https://www.immobiliare.it/annunci/104293637/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via Selvaforte 79, Casetta Mattei - Corviale, Roma",750.0,2,67.0,1,na,"('https://www.immobiliare.it/annunci/104055247/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Villa a schiera via degli Estensi, Pisana - Bravetta, Roma",850.0,2,50.0,1,na,"('https://www.immobiliare.it/annunci/103197788/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Villa a schiera via degli Estensi, Pisana - Bravetta, Roma",850.0,2,50.0,1,na,"('https://www.immobiliare.it/annunci/92628016/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Trilocale via degli Estensi, Pisana - Bravetta, Roma",1200.0,3,120.0,2,na,"('https://www.immobiliare.it/annunci/103852137/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via del Fontanile Arenato, Pisana - Bravetta, Roma",900.0,2,70.0,1,na,"('https://www.immobiliare.it/annunci/104510253/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via Dei Bichi 20, Pisana - Bravetta, Roma",670.0,2,50.0,1,na,"('https://www.immobiliare.it/annunci/104492525/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via dei Rangoni 28, Casetta Mattei - Corviale, Roma",700.0,2,62.0,1,na,"('https://www.immobiliare.it/annunci/104530891/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Appartamento via Camillo Serafini, 35, Pisana - Bravetta, Roma",1300.0,5+,140.0,2,na,"('https://www.immobiliare.it/annunci/104572013/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Villa unifamiliare piazzetta del Bel Respiro, Colli Portuensi - Casaletto, Roma",3500.0,5,335.0,3,na,"('https://www.immobiliare.it/annunci/103066374/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Appartamento ottimo stato, secondo piano, Pisana - Bravetta, Roma",3300.0,5,180.0,2,na,"('https://www.immobiliare.it/annunci/104567753/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Trilocale via Eugenio Maccagnani, Casetta Mattei - Corviale, Roma",900.0,3,75.0,1,na,"('https://www.immobiliare.it/annunci/104711543/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Attico via degli Estensi, Pisana - Bravetta, Roma",1900.0,5,218.0,3,na,"('https://www.immobiliare.it/annunci/104671983/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via degli Aldobrandeschi, Pisana - Bravetta, Roma",850.0,2,65.0,1,na,"('https://www.immobiliare.it/annunci/104627577/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Trilocale piazza dei Visconti, Pisana - Bravetta, Roma",850.0,3,60.0,1,na,"('https://www.immobiliare.it/annunci/104510377/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale piazza dei Visconti, Pisana - Bravetta, Roma",780.0,2,60.0,1,na,"('https://www.immobiliare.it/annunci/104510495/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Quadrilocale via del Fontanile Arenato 135, Pisana - Bravetta, Roma",1000.0,4,139.0,2,na,"('https://www.immobiliare.it/annunci/97364452/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Villa unifamiliare via Poggio Verde, Casetta Mattei - Corviale, Roma",9000.0,5+,1000.0,3+,na,"('https://www.immobiliare.it/annunci/94343914/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
"Appartamento via del Fontanile Arenato, Pisana - Bravetta, Roma",2000.0,5,140.0,2,na,"('https://www.immobiliare.it/annunci/104175695/', 'Casetta Mattei, Pisana, Bravetta')","Casetta Mattei, Pisana, Bravetta",Roma
