posting_title,price,rooms,sqm,toilets,floor,link,location,city
"Quadrilocale via Giorgio Zoega, Pisana - Bravetta, Roma",389000,4,110,2,2,https://www.immobiliare.it/annunci/100385192/,"Casetta Mattei, Pisana, Bravetta",Roma
"Attico via di Bravetta 728, Pisana - Bravetta, Roma",610000,5,198,2,3,https://www.immobiliare.it/annunci/98186960/,"Casetta Mattei, Pisana, Bravetta",Roma
"Attico via Borghetto di Vara, Pisana - Bravetta, Roma",479000,3,110,1,5,https://www.immobiliare.it/annunci/102470562/,"Casetta Mattei, Pisana, Bravetta",Roma
"Villa unifamiliare via della Nocetta 171, Pisana - Bravetta, Roma",1520000,5+,470,3+,na,https://www.immobiliare.it/annunci/102028874/,"Casetta Mattei, Pisana, Bravetta",Roma
"Quadrilocale via Bartolomeo Avanzini, Pisana - Bravetta, Roma",279000,4,129,2,1,https://www.immobiliare.it/annunci/89324595/,"Casetta Mattei, Pisana, Bravetta",Roma
"Villa unifamiliare via di Bravetta, Pisana - Bravetta, Roma",675000,5,230,3+,na,https://www.immobiliare.it/annunci/93330472/,"Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via degli Scaligeri 10, Pisana - Bravetta, Roma",170000,2,55,1,T,https://www.immobiliare.it/annunci/105028827/,"Casetta Mattei, Pisana, Bravetta",Roma
"Monolocale via degli Scaligeri 10, Pisana - Bravetta, Roma",130000,na,40,1,T,https://www.immobiliare.it/annunci/105027539/,"Casetta Mattei, Pisana, Bravetta",Roma
Palazzo - Edificio in Vendita,650000,5+,283,2,na,https://www.immobiliare.it/annunci/99169950/,"Casetta Mattei, Pisana, Bravetta",Roma
"Trilocale via degli Antamoro 67, Pisana - Bravetta, Roma",319000,3,96,2,T,https://www.immobiliare.it/annunci/105067089/,"Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via Ronco Scrivia, Pisana - Bravetta, Roma",190000,2,54,1,1,https://www.immobiliare.it/annunci/97053446/,"Casetta Mattei, Pisana, Bravetta",Roma
"Trilocale via Portuense 831, Trullo - Colle del Sole, Roma",263000,3,82,2,T,https://www.immobiliare.it/annunci/105201233/,"Casetta Mattei, Pisana, Bravetta",Roma
"Attico via Attilio Spaccarelli, Pisana - Bravetta, Roma",260000,3,87,1,5,https://www.immobiliare.it/annunci/94744362/,"Casetta Mattei, Pisana, Bravetta",Roma
"Trilocale via degli Estensi 203, Pisana - Bravetta, Roma",220000,3,70,1,1,https://www.immobiliare.it/annunci/102296334/,"Casetta Mattei, Pisana, Bravetta",Roma
"Villa bifamiliare, buono stato, 495 m², Pisana - Bravetta, Roma",638000,5+,495,3+,na,https://www.immobiliare.it/annunci/105202623/,"Casetta Mattei, Pisana, Bravetta",Roma
"Attico via dei Tebaldeschi 5, Pisana - Bravetta, Roma",155000,2,53,1,4,https://www.immobiliare.it/annunci/102112368/,"Casetta Mattei, Pisana, Bravetta",Roma
"Bilocale via Ronco Scrivia, Pisana - Bravetta, Roma",233000,2,60,1,6,https://www.immobiliare.it/annunci/99924166/,"Casetta Mattei, Pisana, Bravetta",Roma
"Attico via Portuense 722, Casetta Mattei - Corviale, Roma",440000,4,127,2,na,https://www.immobiliare.it/annunci/104569135/,"Casetta Mattei, Pisana, Bravetta",Roma
"Trilocale via Arnaldo Foschini 10, Pisana - Bravetta, Roma",230000,3,86,1,T,https://www.immobiliare.it/annunci/102441598/,"Casetta Mattei, Pisana, Bravetta",Roma
